NAME1,RA1,DEC1,Z1,NAME2,RA2,DEC2,Z2
J115341.78+461242.3,178.42407,46.211737,0.024415000,J111038.86+034519.6,167.66192,3.7554482,0.025452500
J115341.78+461242.3,178.42407,46.211737,0.024415000,J135857.98+614050.6,209.74158,61.680726,0.029932100
J115341.78+461242.3,178.42407,46.211737,0.024415000,J082854.33+343906.0,127.22636,34.651656,0.020921900
J140040.57-015518.3,210.16903,-1.9217440,0.024997000,J082443.29+295923.6,126.18036,29.989878,0.025324800
J140040.57-015518.3,210.16903,-1.9217440,0.024997000,J104833.59+475914.7,162.13996,47.987413,0.033214400
J140040.57-015518.3,210.16903,-1.9217440,0.024997000,J082403.67+515415.7,126.01531,51.904355,0.031313400
J140040.57-015518.3,210.16903,-1.9217440,0.024997000,J101658.93+132357.5,154.24554,13.399298,0.032550200
J140040.57-015518.3,210.16903,-1.9217440,0.024997000,J111835.82+002511.2,169.64924,0.41976742,0.025076800
J092438.89+560747.0,141.16204,56.129720,0.025041000,J141026.83-004956.6,212.61180,-0.83237970,0.025521700
J092438.89+560747.0,141.16204,56.129720,0.025041000,J211224.69+112431.4,318.10288,11.408724,0.016629500
J092438.89+560747.0,141.16204,56.129720,0.025041000,J082825.87+250052.7,127.10780,25.014635,0.028699700
J092438.89+560747.0,141.16204,56.129720,0.025041000,J110158.99+451340.9,165.49581,45.228033,0.020053500
J092438.89+560747.0,141.16204,56.129720,0.025041000,J230442.82-093345.3,346.17842,-9.5625868,0.031932800
J164721.48+444209.8,251.83948,44.702717,0.025651000,J103443.72+110310.7,158.68216,11.052976,0.022187400
J164721.48+444209.8,251.83948,44.702717,0.025651000,J114930.79+424541.1,177.37831,42.761422,0.026601300
J164721.48+444209.8,251.83948,44.702717,0.025651000,J095812.60+110635.5,149.55249,11.109870,0.027308800
J164721.48+444209.8,251.83948,44.702717,0.025651000,J162441.32+345001.7,246.17215,34.833813,0.033984700
J164721.48+444209.8,251.83948,44.702717,0.025651000,J130238.75+452637.3,195.66144,45.443697,0.024202600
J112637.74+513423.0,171.65725,51.573064,0.026443000,J115704.55+434937.6,179.26895,43.827100,0.025231900
J112637.74+513423.0,171.65725,51.573064,0.026443000,J030801.40-005325.8,47.005833,-0.89049031,0.028980800
J112637.74+513423.0,171.65725,51.573064,0.026443000,J124148.07+474231.9,190.45028,47.708848,0.030664100
J112637.74+513423.0,171.65725,51.573064,0.026443000,J110529.83+033935.9,166.37431,3.6599758,0.025263200
J112637.74+513423.0,171.65725,51.573064,0.026443000,J092346.59+352900.3,140.94411,35.483403,0.026479400
J080020.99+263648.7,120.08744,26.613535,0.026773000,J080707.18+361400.5,121.77993,36.233472,0.032288800
J080020.99+263648.7,120.08744,26.613535,0.026773000,J104000.58+390720.0,160.00240,39.122224,0.030804700
J080020.99+263648.7,120.08744,26.613535,0.026773000,J110133.96+453913.9,165.39152,45.653870,0.029398000
J080020.99+263648.7,120.08744,26.613535,0.026773000,J075953.49+232324.2,119.97287,23.390062,0.029170300
J080020.99+263648.7,120.08744,26.613535,0.026773000,J133548.25+025956.1,203.95103,2.9989274,0.021758700
J133248.70+415218.6,203.20292,41.871832,0.027065000,J130905.60+113802.9,197.27333,11.634127,0.025197300
J133248.70+415218.6,203.20292,41.871832,0.027065000,J103719.33+433515.3,159.33056,43.587589,0.024762800
J133248.70+415218.6,203.20292,41.871832,0.027065000,J090554.49+471045.5,136.47706,47.179305,0.027218300
J133248.70+415218.6,203.20292,41.871832,0.027065000,J220141.64+115124.4,330.42349,11.856781,0.029660100
J133248.70+415218.6,203.20292,41.871832,0.027065000,J150759.30+011354.3,226.99709,1.2317371,0.035114300
J114343.76+550019.3,175.93235,55.005366,0.027067000,J011905.14+003745.0,19.771425,0.62916836,0.032652800
J114343.76+550019.3,175.93235,55.005366,0.027067000,J111319.24+044425.2,168.33017,4.7403287,0.026616500
J114343.76+550019.3,175.93235,55.005366,0.027067000,J094705.72+050159.9,146.77384,5.0333082,0.024256200
J114343.76+550019.3,175.93235,55.005366,0.027067000,J115359.07+130853.7,178.49611,13.148238,0.022690700
J004042.10-110957.6,10.175425,-11.166005,0.027287000,J030632.00-062521.2,46.633329,-6.4225520,0.028027000
J004042.10-110957.6,10.175425,-11.166005,0.027287000,J110617.71-004542.2,166.57378,-0.76171751,0.031147600
J004042.10-110957.6,10.175425,-11.166005,0.027287000,J110219.75+123107.1,165.58231,12.518652,0.027109500
J004042.10-110957.6,10.175425,-11.166005,0.027287000,J113132.72+523921.6,172.88632,52.656003,0.033867000
J004042.10-110957.6,10.175425,-11.166005,0.027287000,J083658.39+051119.1,129.24331,5.1886525,0.030577400
J140718.29+125314.0,211.82619,12.887215,0.027368000,J153838.50+365730.1,234.66042,36.958355,0.018607800
J140718.29+125314.0,211.82619,12.887215,0.027368000,J135933.18+560228.7,209.88824,56.041314,0.034147200
J140718.29+125314.0,211.82619,12.887215,0.027368000,J230343.06+135535.5,345.92943,13.926541,0.027075500
J140718.29+125314.0,211.82619,12.887215,0.027368000,J113252.56+433053.9,173.21901,43.514963,0.024302600
J140718.29+125314.0,211.82619,12.887215,0.027368000,J100356.91+013044.5,150.98714,1.5123620,0.025030400
J111857.69+580323.6,169.74037,58.056554,0.027872000,J110326.80+664011.0,165.86167,66.669720,0.033329200
J111857.69+580323.6,169.74037,58.056554,0.027872000,J144837.04+514331.0,222.15432,51.725287,0.036443300
J111857.69+580323.6,169.74037,58.056554,0.027872000,J085214.30+525323.9,133.05959,52.889980,0.030894600
J111857.69+580323.6,169.74037,58.056554,0.027872000,J114504.88+463733.6,176.27033,46.625995,0.035143200
J111857.69+580323.6,169.74037,58.056554,0.027872000,J135801.16+390138.2,209.50485,39.027282,0.037042200
J162012.76+400906.2,245.05315,40.151720,0.028476000,J143143.18-021248.8,217.92991,-2.2135634,0.029511700
J162012.76+400906.2,245.05315,40.151720,0.028476000,J143416.62+371202.7,218.56926,37.200737,0.034895300
J162012.76+400906.2,245.05315,40.151720,0.028476000,J163934.96+355604.5,249.89567,35.934582,0.037346800
J162012.76+400906.2,245.05315,40.151720,0.028476000,J145205.74+381059.3,223.02390,38.183132,0.032392500
J162012.76+400906.2,245.05315,40.151720,0.028476000,J120138.04+061245.2,180.40849,6.2125478,0.036320700
J114107.56-024910.9,175.28149,-2.8196870,0.028737000,J083057.51+421230.2,127.73963,42.208402,0.035191600
