NAME1,RA1,DEC1,Z1,PR1,G1,M1,A1,C1,NAME2,RA2,DEC2,Z2,PR2,G2,M2,A2,C2
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0037974759089,0.427951,0.5805686681,J082854.33+343906.0,127.22636,34.651656,0.0209219,37.0,0.617114998231,0.00727820810214,0.537085,0.501035878206
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0037974759089,0.427951,0.5805686681,J024440.65-090735.5,41.169379,-9.12654,0.0234751,20.0,0.698421778227,0.00669427386288,0.0943912,0.588576336328
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0037974759089,0.427951,0.5805686681,J130709.78+523247.1,196.79076,52.546409,0.0266821,27.0,0.755374188671,0.00292572533411,0.450394,0.695317993418
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.00399181673696,0.286495,0.588436518734,J001947.33+003526.9,4.9472132,0.59079485,0.0177407,21.0,0.686506191563,0.00350753100716,0.363199,0.592409673356
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.00399181673696,0.286495,0.588436518734,J102332.53+460328.0,155.88556,46.05777,0.0257652,25.0,0.620184195937,0.003629607387,0.478793,0.534082935766
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.00399181673696,0.286495,0.588436518734,J135848.07+045426.9,209.70031,4.9074855,0.0247382,29.0,0.667352212906,0.00779231487395,0.409225,0.556135189618
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.00399181673696,0.286495,0.588436518734,J161433.82+414240.5,243.64091,41.711243,0.0264143,24.0,0.704260062471,0.00442966260945,0.19362,0.602013963057
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.00399181673696,0.286495,0.588436518734,J081956.74+392654.8,124.98643,39.448547,0.0276905,16.0,0.673525711896,0.00519141314933,0.283625,0.586795491958
J120257.82+045045.1,180.7409,4.84585,0.020675,91.0,0.419541142326,0.018516449026,0.476156,0.312767977116,J171934.81+563748.1,259.89506,56.630038,0.0273728,21.0,0.702505107189,0.00402054229974,0.217927,0.618112173012
J120257.82+045045.1,180.7409,4.84585,0.020675,91.0,0.419541142326,0.018516449026,0.476156,0.312767977116,J111406.32+554239.1,168.52632,55.710872,0.0279428,28.0,0.655484815893,0.00995639089209,0.257319,0.535460047678
J120257.82+045045.1,180.7409,4.84585,0.020675,91.0,0.419541142326,0.018516449026,0.476156,0.312767977116,J151944.30+441918.6,229.93459,44.321846,0.0282073,35.0,0.591248287023,0.00440205697757,0.27671,0.467798058736
J120257.82+045045.1,180.7409,4.84585,0.020675,91.0,0.419541142326,0.018516449026,0.476156,0.312767977116,J090015.62+401748.4,135.06507,40.296765,0.0289336,65.0,0.491912077391,0.00954035918815,0.499827,0.358887947392
J120257.82+045045.1,180.7409,4.84585,0.020675,91.0,0.419541142326,0.018516449026,0.476156,0.312767977116,J231221.42+143633.8,348.08923,14.609381,0.0162342,79.0,0.603640213777,0.00233005285932,0.241794,0.551049792838
J111607.65+412353.2,169.03189,41.398105,0.020843,34.0,0.624866619764,0.00375457711158,0.212285,0.539700692803,J114422.81+082315.1,176.09505,8.3875392,0.0199703,23.0,0.632506488138,0.00485973367673,0.235532,0.474755898713
J111607.65+412353.2,169.03189,41.398105,0.020843,34.0,0.624866619764,0.00375457711158,0.212285,0.539700692803,J145627.95+021224.7,224.11647,2.2068737,0.0288167,28.0,0.699865015121,0.00384047158526,0.339578,0.61074656778
J111607.65+412353.2,169.03189,41.398105,0.020843,34.0,0.624866619764,0.00375457711158,0.212285,0.539700692803,J091431.31+491657.5,138.63047,49.282628,0.0293311,17.0,0.655803004802,0.00574194679531,0.364346,0.534300711728
J111607.65+412353.2,169.03189,41.398105,0.020843,34.0,0.624866619764,0.00375457711158,0.212285,0.539700692803,J164106.57+460014.6,250.27736,46.004065,0.0177982,32.0,0.62120873985,0.00807998685897,0.167057,0.409834711945
J111607.65+412353.2,169.03189,41.398105,0.020843,34.0,0.624866619764,0.00375457711158,0.212285,0.539700692803,J090838.46+323534.6,137.16024,32.592954,0.0142966,22.0,0.687805896062,0.0034253086381,0.0526052,0.547986615645
J114530.26+094344.8,176.37607,9.7291,0.021371,51.0,0.646651098812,0.0022018036188,0.531981,0.577358101591,J132505.37-005411.2,201.27236,-0.90310404,0.0180788,30.0,0.660767293027,0.00374290688838,0.161492,0.557950759894
J114530.26+094344.8,176.37607,9.7291,0.021371,51.0,0.646651098812,0.0022018036188,0.531981,0.577358101591,J131038.58+611623.6,197.66075,61.273235,0.0313322,27.0,0.574515551436,0.0087446827367,0.387853,0.455876115573
J114530.26+094344.8,176.37607,9.7291,0.021371,51.0,0.646651098812,0.0022018036188,0.531981,0.577358101591,J121626.72+105342.4,184.11133,10.895111,0.0246112,28.0,0.60838730728,0.00994051996451,0.304498,0.460842447078
J114530.26+094344.8,176.37607,9.7291,0.021371,51.0,0.646651098812,0.0022018036188,0.531981,0.577358101591,J102813.91+590602.3,157.05795,59.100646,0.0313028,24.0,0.716806171648,0.00599108920251,0.261691,0.631138736226
J114530.26+094344.8,176.37607,9.7291,0.021371,51.0,0.646651098812,0.0022018036188,0.531981,0.577358101591,J004436.94-094600.4,11.153903,-9.7667884,0.0298578,16.0,0.655764092217,0.00644668816803,0.184884,0.593989891447
J132428.24+044629.6,201.11768,4.774889,0.02143,15.0,0.652262365854,0.00557045273916,0.27831,0.567295020825,J085333.60+394537.3,133.39002,39.760373,0.023416,28.0,0.603253864341,0.00305125767621,0.452774,0.471532203486
J132428.24+044629.6,201.11768,4.774889,0.02143,15.0,0.652262365854,0.00557045273916,0.27831,0.567295020825,J161433.82+414240.5,243.64091,41.711243,0.0264143,24.0,0.704260062471,0.00442966260945,0.19362,0.602013963057
J132428.24+044629.6,201.11768,4.774889,0.02143,15.0,0.652262365854,0.00557045273916,0.27831,0.567295020825,J085837.31+515242.6,134.65545,51.878488,0.0127364,29.0,0.68223369122,0.00262137516931,0.428712,0.577485635662
J132428.24+044629.6,201.11768,4.774889,0.02143,15.0,0.652262365854,0.00557045273916,0.27831,0.567295020825,J102332.53+460328.0,155.88556,46.05777,0.0257652,25.0,0.620184195937,0.003629607387,0.478793,0.534082935766
J132428.24+044629.6,201.11768,4.774889,0.02143,15.0,0.652262365854,0.00557045273916,0.27831,0.567295020825,J085949.05+050339.1,134.95437,5.0608525,0.0125192,59.0,0.623534869158,0.00525514822036,0.436373,0.378716891893
J082510.23+375919.8,126.29263,37.98882,0.021431,27.0,0.61774352737,0.00754621181817,0.422806,0.47373305105,J080547.35+225434.9,121.44728,22.909688,0.030256,34.0,0.586795582396,0.00506520229158,0.456258,0.521157312471
J082510.23+375919.8,126.29263,37.98882,0.021431,27.0,0.61774352737,0.00754621181817,0.422806,0.47373305105,J023310.79-074813.4,38.294963,-7.8037217,0.030938,15.0,0.665273356779,0.00671081312612,0.398493,0.585414518744
J082510.23+375919.8,126.29263,37.98882,0.021431,27.0,0.61774352737,0.00754621181817,0.422806,0.47373305105,J073715.73+313110.9,114.31555,31.519703,0.0267995,19.0,0.676630880386,0.00400959630748,0.420182,0.134269603686
J082510.23+375919.8,126.29263,37.98882,0.021431,27.0,0.61774352737,0.00754621181817,0.422806,0.47373305105,J111835.82+002511.2,169.64924,0.41976742,0.0250768,15.0,0.701272145188,0.0038972036154,0.317713,0.578600770138
J082510.23+375919.8,126.29263,37.98882,0.021431,27.0,0.61774352737,0.00754621181817,0.422806,0.47373305105,J081006.07+245519.5,122.52528,24.922096,0.0140412,61.0,0.623140569074,0.00266601249455,1.14191,0.304494789303
J093812.26+074340.1,144.5511,7.727792,0.021895,17.0,0.682475415051,0.00484592953945,0.421095,0.568385477063,J082854.33+343906.0,127.22636,34.651656,0.0209219,37.0,0.617114998231,0.00727820810214,0.537085,0.501035878206
J093812.26+074340.1,144.5511,7.727792,0.021895,17.0,0.682475415051,0.00484592953945,0.421095,0.568385477063,J094814.71+574444.5,147.0613,57.745681,0.0297192,27.0,0.736188763,0.00574567563336,0.475689,0.631810036395
J093812.26+074340.1,144.5511,7.727792,0.021895,17.0,0.682475415051,0.00484592953945,0.421095,0.568385477063,J113446.25+025515.7,173.69272,2.9210337,0.0286643,23.0,0.643774343121,0.00361602283685,0.353918,0.506634105499
J093812.26+074340.1,144.5511,7.727792,0.021895,17.0,0.682475415051,0.00484592953945,0.421095,0.568385477063,J093917.26+363343.9,144.82191,36.562197,0.0197165,37.0,0.647196796605,0.00196067945865,0.290238,0.584858165249
J093812.26+074340.1,144.5511,7.727792,0.021895,17.0,0.682475415051,0.00484592953945,0.421095,0.568385477063,J111038.86+034519.6,167.66192,3.7554482,0.0254525,19.0,0.685982064805,0.00382929722519,0.334033,0.598216865863
J133815.87+043233.3,204.56613,4.542593,0.022975,66.0,0.632631248604,0.00359774306072,0.112551,0.581930822979,J220316.00+003415.9,330.81665,0.571085,0.0301422,52.0,0.659208541696,0.0107105637504,0.31063,0.526871806549
J133815.87+043233.3,204.56613,4.542593,0.022975,66.0,0.632631248604,0.00359774306072,0.112551,0.581930822979,J104000.58+390720.0,160.0024,39.122224,0.0308047,43.0,0.624962769435,0.00363086825093,0.274678,0.506353104955
J133815.87+043233.3,204.56613,4.542593,0.022975,66.0,0.632631248604,0.00359774306072,0.112551,0.581930822979,J141451.35+030751.3,213.71395,3.130926,0.0253336,55.0,0.61362226936,0.00264547357846,0.218071,0.543485727693
J133815.87+043233.3,204.56613,4.542593,0.022975,66.0,0.632631248604,0.00359774306072,0.112551,0.581930822979,J144545.12+513450.9,221.43798,51.580815,0.0298071,42.0,0.618515406398,0.00330494532202,0.388801,0.535241078669
J133815.87+043233.3,204.56613,4.542593,0.022975,66.0,0.632631248604,0.00359774306072,0.112551,0.581930822979,J172717.39+582907.7,261.82245,58.485471,0.0272243,51.0,0.576766302549,0.00452233668989,0.292017,0.38422565757
J100207.04+030327.7,150.52933,3.057686,0.023176,34.0,0.630917052846,0.00322391491916,0.149153,0.50472936276,J034545.16-071526.9,56.438184,-7.257463,0.0216551,38.0,0.644679634086,0.00365176811092,0.245053,0.562810321944
J100207.04+030327.7,150.52933,3.057686,0.023176,34.0,0.630917052846,0.00322391491916,0.149153,0.50472936276,J074953.38+451454.6,117.4724,45.248489,0.0312531,20.0,0.639711043229,0.00609535326904,0.169351,0.53300963899
J100207.04+030327.7,150.52933,3.057686,0.023176,34.0,0.630917052846,0.00322391491916,0.149153,0.50472936276,J094511.97-000712.1,146.29988,-0.12001413,0.0306548,27.0,0.559054112453,0.00822440391557,0.327369,0.436206561184
J100207.04+030327.7,150.52933,3.057686,0.023176,34.0,0.630917052846,0.00322391491916,0.149153,0.50472936276,J080328.07+250609.6,120.86694,25.102666,0.0275703,17.0,0.696491796308,0.00560845250271,0.289207,0.605749741243
J100207.04+030327.7,150.52933,3.057686,0.023176,34.0,0.630917052846,0.00322391491916,0.149153,0.50472936276,J005329.92-084604.0,13.374656,-8.7677882,0.019029,50.0,0.648077152048,0.0055624955651,0.347614,0.507643583538
J121754.98+583935.7,184.47907,58.659912,0.023253,20.0,0.698824212742,0.00381347502358,0.100665,0.636479773183,J080547.35+225434.9,121.44728,22.909688,0.030256,34.0,0.586795582396,0.00506520229158,0.456258,0.521157312471
J121754.98+583935.7,184.47907,58.659912,0.023253,20.0,0.698824212742,0.00381347502358,0.100665,0.636479773183,J023310.79-074813.4,38.294963,-7.8037217,0.030938,15.0,0.665273356779,0.00671081312612,0.398493,0.585414518744
J121754.98+583935.7,184.47907,58.659912,0.023253,20.0,0.698824212742,0.00381347502358,0.100665,0.636479773183,J213206.88+110637.0,323.02865,11.110274,0.0315655,17.0,0.6779283937,0.00443655359402,0.353663,0.559152596708
J121754.98+583935.7,184.47907,58.659912,0.023253,20.0,0.698824212742,0.00381347502358,0.100665,0.636479773183,J104833.59+475914.7,162.13996,47.987413,0.0332144,23.0,0.673355313461,0.00321425745157,0.64707,0.564629934487
J121754.98+583935.7,184.47907,58.659912,0.023253,20.0,0.698824212742,0.00381347502358,0.100665,0.636479773183,J111835.82+002511.2,169.64924,0.41976742,0.0250768,15.0,0.701272145188,0.0038972036154,0.317713,0.578600770138
J080740.99+390015.3,121.92081,39.004246,0.023496,32.0,0.702809259287,0.00152840912059,0.130218,0.622730093542,J134640.80+522836.6,206.66998,52.476826,0.0292307,21.0,0.674771725463,0.00528413047447,0.317553,0.588546302389
J080740.99+390015.3,121.92081,39.004246,0.023496,32.0,0.702809259287,0.00152840912059,0.130218,0.622730093542,J005329.92-084604.0,13.374656,-8.7677882,0.019029,50.0,0.648077152048,0.0055624955651,0.347614,0.507643583538
J080740.99+390015.3,121.92081,39.004246,0.023496,32.0,0.702809259287,0.00152840912059,0.130218,0.622730093542,J085828.60+000124.5,134.61916,0.023468147,0.0285519,26.0,0.685033857828,0.00527179223277,0.132968,0.495844063623
J080740.99+390015.3,121.92081,39.004246,0.023496,32.0,0.702809259287,0.00152840912059,0.130218,0.622730093542,J005940.11+151951.5,14.917142,15.330978,0.0182413,42.0,0.639213033347,0.0024132192507,0.206709,0.576059405154
J080740.99+390015.3,121.92081,39.004246,0.023496,32.0,0.702809259287,0.00152840912059,0.130218,0.622730093542,J034545.16-071526.9,56.438184,-7.257463,0.0216551,38.0,0.644679634086,0.00365176811092,0.245053,0.562810321944
J122324.14+024044.4,185.85057,2.679011,0.023579,21.0,0.655935287583,0.00527065060593,0.316288,0.553181965953,J123804.16+482042.3,189.51734,48.345096,0.0305055,29.0,0.700940472492,0.006275344663,0.363023,0.604597423763
J122324.14+024044.4,185.85057,2.679011,0.023579,21.0,0.655935287583,0.00527065060593,0.316288,0.553181965953,J093917.26+363343.9,144.82191,36.562197,0.0197165,37.0,0.647196796605,0.00196067945865,0.290238,0.584858165249
J122324.14+024044.4,185.85057,2.679011,0.023579,21.0,0.655935287583,0.00527065060593,0.316288,0.553181965953,J113446.25+025515.7,173.69272,2.9210337,0.0286643,23.0,0.643774343121,0.00361602283685,0.353918,0.506634105499
J122324.14+024044.4,185.85057,2.679011,0.023579,21.0,0.655935287583,0.00527065060593,0.316288,0.553181965953,J135857.98+614050.6,209.74158,61.680726,0.0299321,17.0,0.678946699546,0.00579948167867,0.214813,0.583540706786
J122324.14+024044.4,185.85057,2.679011,0.023579,21.0,0.655935287583,0.00527065060593,0.316288,0.553181965953,J143143.18-021248.8,217.92991,-2.2135634,0.0295117,15.0,0.685261700242,0.00782237500651,0.368944,0.540615008295
J130620.97+531823.2,196.58738,53.306444,0.023679,17.0,0.670063263435,0.00524189481354,0.315549,0.515918247124,J131835.67+140248.5,199.64862,14.046799,0.0284924,19.0,0.627341239254,0.0100280706314,0.2714,0.460746374537
J130620.97+531823.2,196.58738,53.306444,0.023679,17.0,0.670063263435,0.00524189481354,0.315549,0.515918247124,J133023.78+022058.6,202.59909,2.3496142,0.0320119,23.0,0.710778915577,0.00668916519838,0.578528,0.607773391024
J130620.97+531823.2,196.58738,53.306444,0.023679,17.0,0.670063263435,0.00524189481354,0.315549,0.515918247124,J170622.22+212422.2,256.5926,21.406173,0.0309222,30.0,0.632946109911,0.0055010975549,0.622973,0.46525177607
J130620.97+531823.2,196.58738,53.306444,0.023679,17.0,0.670063263435,0.00524189481354,0.315549,0.515918247124,J143445.75+005319.1,218.69062,0.88865091,0.0140943,54.0,0.574915958039,0.0025341913575,0.264719,0.489802805125
