NAME1,RA1,DEC1,Z1,PR1,G1,M1,NAME2,RA2,DEC2,Z2,PR2,G2,M2
J011059.31+002601.1,17.747137,0.433651,0.018843,15.0,0.683374753027,0.0515549079069,J100213.84+114120.5,150.55768,11.689017,0.0219842,28.0,0.563674292819,0.0224443356423
J011059.31+002601.1,17.747137,0.433651,0.018843,15.0,0.683374753027,0.0515549079069,J091835.38+495042.5,139.64741,49.845151,0.027837,19.0,0.55790314234,0.0543731648064
J011059.31+002601.1,17.747137,0.433651,0.018843,15.0,0.683374753027,0.0515549079069,J221210.26+135703.6,333.04277,13.950991,0.0278756,29.0,0.833221210096,0.0488239388516
J011059.31+002601.1,17.747137,0.433651,0.018843,15.0,0.683374753027,0.0515549079069,J141547.22+411824.4,213.94675,41.306778,0.0256668,22.0,0.652792001746,0.0612932022083
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0400160511755,J225900.18+132951.7,344.75075,13.497688,0.0287293,29.0,0.725447558726,0.0468846908157
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0400160511755,J111038.86+034519.6,167.66192,3.7554482,0.0254525,19.0,0.685982064805,0.0381243802133
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0400160511755,J082854.33+343906.0,127.22636,34.651656,0.0209219,37.0,0.617114998231,0.0253640378799
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0400160511755,J024440.65-090735.5,41.169379,-9.12654,0.0234751,20.0,0.698421778227,0.0377186673521
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0400160511755,J130709.78+523247.1,196.79076,52.546409,0.0266821,27.0,0.755374188671,0.0450521717628
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.0374566141983,J001947.33+003526.9,4.9472132,0.59079485,0.0177407,21.0,0.686506191563,0.0333556782384
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.0374566141983,J102332.53+460328.0,155.88556,46.05777,0.0257652,25.0,0.620184195937,0.0382156252007
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.0374566141983,J135848.07+045426.9,209.70031,4.9074855,0.0247382,29.0,0.667352212906,0.0571211940534
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.0374566141983,J161433.82+414240.5,243.64091,41.711243,0.0264143,24.0,0.704260062471,0.0453059994825
